"codigo","actividad_economica","afecta_iva","categoria"
"432200","Instalaciones de gasfitería, calefacción y aire acondicionado",,
"332000","Instalación de maquinaria y equipos industriales",,
"432900","Otras instalaciones para obras de construcción",,
"433000","Terminación y acabado de edificios",,
"439000","Otras actividades especializadas de construcción",,
"451001","Venta al por mayor de vehículos automotores",,
"451002","Venta al por menor de vehículos automotores nuevos o usados (incluye compraventa)",,
"452001","Servicio de lavado de vehículos automotores",,
"452002","Mantenimiento y reparación de vehículos automotores",,
"453000","Venta de partes, piezas y accesorios para vehículos automotores",,
"454001","Venta de motocicletas",,
"454002","Venta de partes, piezas y accesorios de motocicletas",,
"454003","Mantenimiento y reparación de motocicletas",,
"473000","Venta al por menor de combustibles para vehículos automotores en comercios especializados",,
"461001","Corretaje al por mayor de productos agrícolas",,
"461002","Corretaje al por mayor de ganado",,
"461009","Otros tipos de corretajes o remates al por mayor n.c.p.",,
"462020","Venta al por mayor de animales vivos",,
"462010","Venta al por mayor de materias primas agrícolas",,
"462090","Venta al por mayor de otras materias primas agropecuarias n.c.p.",,
"463011","Venta al por mayor de frutas y verduras",,
"463012","Venta al por mayor de carne y productos cárnicos",,
"463013","Venta al por mayor de productos del mar (pescados, mariscos y algas)",,
"463020","Venta al por mayor de bebidas alcohólicas y no alcohólicas",,
"463014","Venta al por mayor de productos de confitería",,
"463030","Venta al por mayor de tabaco",,
"463019","Venta al por mayor de huevos, lácteos, abarrotes y de otros alimentos n.c.p.",,
"464100","Venta al por mayor de productos textiles, prendas de vestir y calzado",,
"464901","Venta al por mayor de muebles, excepto muebles de oficina",,
"464902","Venta al por mayor de artículos eléctricos y electrónicos para el hogar",,
"464903","Venta al por mayor de artículos de perfumería, de tocador y cosméticos",,
"464904","Venta al por mayor de artículos de papelería y escritorio",,
"464905","Venta al por mayor de libros",,
"464906","Venta al por mayor de diarios y revistas",,
"464907","Venta al por mayor de productos farmacéuticos y medicinales",,
"464909","Venta al por mayor de otros enseres domésticos n.c.p.",,
"466100","Venta al por mayor de combustibles sólidos, líquidos y gaseosos y productos conexos",,
"466200","Venta al por mayor de metales y minerales metalíferos",,
"466301","Venta al por mayor de madera en bruto y productos primarios de la elaboración de madera",,
"466302","Venta al por mayor de materiales de construcción, artículos de ferretería, gasfitería y calefacción",,
"466901","Venta al por mayor de productos químicos",,
"466902","Venta al por mayor de desechos metálicos (chatarra)",,
"464908","Venta al por mayor de instrumentos científicos y quirúrgicos",,
"466909","Venta al por mayor de desperdicios, desechos y otros productos n.c.p.",,
"465300","Venta al por mayor de maquinaria, equipo y materiales agropecuarios",,
"465901","Venta al por mayor de maquinaria metalúrgica, para la minería, extracción de petróleo y construcción",,
"465902","Venta al por mayor de maquinaria para la elaboración de alimentos, bebidas y tabaco",,
"465903","Venta al por mayor de maquinaria para la industria textil, del cuero y del calzado",,
"465100","Venta al por mayor de computadores, equipo periférico y programas informáticos",,
"465200","Venta al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones",,
"465904","Venta al por mayor de maquinaria y equipo de oficina; venta al por mayor de muebles de oficina",,
"465905","Venta al por mayor de equipo de transporte(excepto vehículos automotores, motocicletas y bicicletas)",,
"465909","Venta al por mayor de otros tipos de maquinaria y equipo n.c.p.",,
"469000","Venta al por mayor no especializada",,
"471100","Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",,
"472101","Venta al por menor de alimentos en comercios especializados (almacenes pequeños y minimarket)",,
"471990","Otras actividades de venta al por menor en comercios no especializados n.c.p.",,
"471910","Venta al por menor en comercios de vestuario y productos para el hogar (grandes tiendas)",,
"472200","Venta al por menor de bebidas alcohólicas y no alcohólicas en comercios especializados (botillerías)",,
"472102","Venta al por menor en comercios especializados de carne y productos cárnicos",,
